origin,destination
20,16
34,22
25,34
12,14
29,19
34,18
33,43
15,4
49,18
1,50
1,7
47,12
1,27
11,23
46,38
47,1
50,15
14,38
8,20
9,11
38,16
17,1
27,13
7,13
35,46
7,12
3,21
15,37
19,13
18,42
42,18
16,45
27,14
24,30
27,15
32,15
9,46
5,37
6,47
5,1
23,19
40,19
16,6
17,23
23,17
11,17
17,18
12,17
16,20
26,45
45,26
12,24
7,27
24,17
46,50
31,48
48,31
42,16
5,23
23,5
27,42
32,10
10,32
26,13
25,12
46,4
7,20
4,46
25,17
14,17
17,14
30,26
3,26
7,16
49,19
16,27
27,16
30,13
8,1
50,19
19,50
28,50
50,28
5,6
30,45
6,9
46,47
50,4
4,50
33,28
13,37
50,33
5,39
39,5
33,50
50,8
5,11
11,5
1,38
25,8
25,14
5,9
9,5
50,1
50,34
21,2
15,43
7,1
27,1
28,4
4,28
14,34
25,50
50,25
46,1
15,33
33,15
30,43
43,30
28,37
37,28
33,1
50,24
24,50
27,8
19,17
17,19
49,1
19,15
15,19
50,43
43,50
40,32
32,11
14,47
50,12
12,50
29,34
18,50
24,46
50,17
17,50
5,21
21,5
29,1
1,19
1,16
19,1
16,1
15,50
1,4
4,1
28,27
9,39
39,9
14,19
46,12
13,28
16,37
37,16
2,15
13,1
37,43
10,21
21,10
1,43
47,43
43,47
28,15
50,37
37,50
43,45
45,43
12,4
4,12
1,3
3,1
17,4
4,17
12,1
12,28
14,50
50,14
50,7
7,50
1,17
28,17
50,27
27,50
2,26
25,7
13,27
3,4
4,3
28,16
50,3
3,50
45,28
46,7
5,32
25,27
2,23
5,2
10,6
50,13
13,50
27,49
50,42
2,4
1,15
15,1
46,26
25,20
4,13
26,27
8,3
7,17
1,14
14,1
25,16
16,25
50,16
16,50
5,10
10,5
20,35
26,50
50,26
13,16
16,13
45,27
26,4
4,26
46,45
2,32
15,21
21,15
17,27
7,4
4,7
13,9
32,9
9,13
9,32
4,27
27,4
16,24
35,9
50,45
17,15
15,17
37,15
16,44
44,16
20,44
44,20
6,30
16,33
50,2
2,50
12,16
16,12
17,16
16,17
24,37
26,16
16,26
30,20
20,30
4,42
7,14
23,45
45,23
37,12
29,16
16,29
4,20
34,13
16,4
4,16
45,19
25,13
3,5
13,25
5,3
44,27
27,44
43,20
15,27
26,25
25,26
3,17
15,10
10,15
12,13
17,13
15,32
38,44
50,21
21,50
40,30
40,45
11,30
19,21
11,43
41,15
1,44
33,23
50,9
9,50
6,28
1,21
21,1
2,12
13,11
11,13
3,10
6,50
4,10
4,32
32,4
5,4
4,5
28,5
32,13
4,11
11,4
50,23
23,50
50,5
5,50
1,5
50,10
10,50
21,12
28,10
19,5
5,19
17,21
13,44
50,11
11,50
9,12
1,32
1,10
10,1
5,7
7,5
5,42
42,5
23,16
5,16
16,5
32,25
11,27
27,11
31,11
11,31
24,5
31,40
40,31
11,34
39,7
17,10
10,17
12,5
17,5
5,17
17,36
31,5
5,31
12,11
23,14
31,32
31,10
10,31
14,11
16,10
10,16
48,9
3,31
31,3
13,31
31,4
4,31
12,31
31,12
17,31
11,9
26,21
29,46
19,49
46,19
49,24
47,29
40,41
6,23
21,6
5,36
37,1
35,5
45,9
34,25
20,7
45,30
33,29
24,38
26,28
46,20
20,27
8,34
34,14
28,3
3,28
41,2
21,3
26,23
23,26
23,30
23,8
41,6
24,49
35,37
14,25
39,23
8,27
28,34
34,28
8,33
28,26
32,6
30,29
34,15
3,41
30,41
6,15
26,40
40,26
40,15
14,26
39,34
34,40
40,34
14,18
18,14
8,35
30,5
37,21
34,44
44,34
20,5
38,24
30,28
24,16
27,20
18,28
37,38
30,23
30,11
34,49
49,34
39,6
3,33
15,14
28,41
41,28
6,5
29,28
39,32
6,32
32,40
40,39
41,5
26,35
23,6
8,28
40,5
6,21
41,40
6,39
6,36
33,47
14,49
8,29
33,34
8,14
49,20
39,35
41,48
35,26
35,30
9,41
24,47
9,40
38,20
4,30
32,41
26,9
20,33
40,28
28,11
23,25
39,48
34,39
41,9
11,21
28,30
20,37
29,30
9,30
20,34
16,34
20,29
29,20
6,35
25,6
27,41
39,49
5,34
41,39
27,28
30,6
20,18
6,26
34,30
35,24
29,41
6,20
11,6
28,38
41,21
30,21
21,30
41,30
39,30
15,40
32,37
39,31
34,11
48,41
41,31
6,41
30,35
41,11
8,24
21,41
30,34
26,5
24,44
44,24
9,27
27,9
28,8
34,7
7,34
34,23
32,14
11,41
9,6
5,27
40,48
48,40
41,24
31,41
5,14
35,8
27,5
35,45
45,35
35,29
35,16
35,39
12,34
5,40
14,29
42,46
26,34
34,26
39,41
6,11
21,37
11,14
39,4
19,46
23,39
28,29
45,6
28,39
23,34
26,41
45,5
11,40
39,11
28,7
34,16
21,45
16,14
26,39
40,11
40,21
21,40
11,26
11,24
11,20
14,28
6,16
20,11
42,26
48,39
48,21
39,40
5,41
36,40
41,23
24,34
26,30
13,30
47,34
37,35
49,29
6,40
40,6
26,37
28,47
11,32
32,39
34,29
7,28
23,21
2,6
24,28
27,34
34,42
43,34
6,3
20,47
42,17
45,21
20,26
39,26
29,6
5,48
32,48
29,47
36,6
23,11
40,10
35,6
29,21
35,17
3,14
2,17
39,28
28,40
39,1
16,11
33,4
21,32
29,12
42,49
3,6
26,6
34,21
21,34
16,21
6,25
41,34
11,48
12,10
16,40
6,48
6,31
44,21
21,39
6,45
11,29
48,11
6,7
37,32
31,23
44,11
48,26
36,5
41,32
36,28
24,6
31,39
25,11
21,48
35,11
11,35
44,47
21,24
12,35
30,40
23,28
46,5
5,46
20,40
46,29
47,25
19,24
21,7
20,39
39,20
17,39
24,19
26,11
23,40
29,24
20,28
40,23
30,42
20,8
28,24
29,33
7,49
49,7
34,20
24,27
48,23
24,25
34,17
37,30
25,28
38,27
25,29
16,38
13,20
29,26
7,30
45,20
24,35
37,6
23,29
47,24
26,29
30,25
6,29
11,37
11,19
38,32
40,7
19,29
9,23
24,29
20,13
18,20
5,26
14,16
29,23
39,37
21,16
1,11
11,1
44,3
12,39
28,33
21,23
14,21
14,5
7,25
29,14
41,29
6,24
41,7
31,6
48,30
19,22
28,36
30,37
15,6
17,6
23,48
20,25
20,6
11,16
35,3
4,8
9,36
24,45
28,23
37,9
27,24
44,7
1,24
7,6
46,28
34,6
13,35
21,9
22,28
9,26
20,22
50,20
29,35
2,39
19,30
7,3
26,38
41,26
14,20
5,43
36,45
33,39
21,31
46,33
38,1
27,38
30,1
14,46
26,42
40,20
4,33
19,33
26,2
41,13
5,29
29,5
11,28
41,20
11,44
33,20
14,41
12,37
39,21
28,35
25,21
25,9
35,28
37,20
20,41
17,25
7,26
26,7
31,26
45,7
26,31
1,6
49,40
20,46
8,38
14,12
14,24
19,28
22,29
12,29
33,26
29,22
37,26
1,28
34,8
25,24
46,34
21,36
46,24
40,9
36,9
33,25
24,33
27,25
9,3
30,9
3,19
9,35
34,3
26,49
24,3
43,40
26,36
34,43
16,30
25,45
2,30
34,46
28,46
20,1
49,8
32,23
23,32
43,15
4,15
25,1
22,34
19,34
34,12
24,12
22,24
34,19
4,19
24,22
47,33
19,4
18,12
1,34
33,19
28,1
47,19
12,47
28,19
1,49
49,38
38,49
1,46
12,49
37,27
1,25
16,28
12,15
29,15
15,29
16,7
