airport,enplanements
ATL,43130585
DEN,25241962
DFW,27100656
ORD,32171831
LAX,28857755
LAS,18996738
MCO,17017491
CLT,18629181
PHX,18907171
SEA,15406243
SFO,19359003
EWR,16571754
IAH,19528631
BOS,13561814
MSP,15512487
MIA,17017654
JFK,22934047
LGA,12001501
DTW,15643890
FLL,10829810
SLC,9910493
DCA,8736804
SAN,8430509
PHL,14951254
BWI,10848633
AUS,4201136
TPA,8137222
BNA,4432527
MDW,8518957
DAL,3783407
HNL,8740077
PDX,6582227
STL,6044760
IAD,11276481
HOU,4357835
SMF,4424279
MSY,4088889
RDU,4465736
SJC,4056167
OAK,4673417
SNA,4278623
RSW,3714157
MCI,4946173
SJU,4243475
SAT,3916320
IND,3728698
CLE,4591097
OGG,2587214
PIT,3996656
CVG,3906826
