origin,destination,passengers
20,16,5379
34,22,5631
25,34,1943
12,14,373122
29,19,167608
34,18,117580
33,43,100075
15,4,525538
49,18,161389
1,50,313927
1,7,1191210
47,12,165311
1,27,856254
11,23,547492
46,38,6228
47,1,375945
50,15,93547
14,38,232616
8,20,357273
9,11,458856
38,16,248799
17,1,466195
27,13,163220
7,13,515356
35,46,42690
7,12,868513
3,21,455427
15,37,57408
19,13,231828
18,42,121222
42,18,126742
16,45,47140
27,14,297139
24,30,1809
27,15,246219
32,15,220648
9,46,190234
5,37,182716
6,47,127662
5,1,791335
23,19,159778
40,19,1285
16,6,243823
17,23,318496
23,17,328489
11,17,900131
17,18,3363
12,17,2575
16,20,4117
26,45,837
45,26,6376
12,24,20904
7,27,14921
24,17,6403
46,50,658
31,48,955829
48,31,948669
42,16,18786
5,23,55248
23,5,63452
27,42,4140
32,10,585917
10,32,566109
26,13,252571
25,12,3890
46,4,180416
7,20,206567
4,46,169173
25,17,89078
14,17,455872
17,14,456308
30,26,258969
3,26,494260
7,16,477442
49,19,76529
16,27,251790
27,16,247324
30,13,129535
8,1,406501
50,19,77689
19,50,77095
28,50,662
50,28,394
5,6,1136509
30,45,298863
6,9,766108
46,47,85
50,4,156433
4,50,156198
33,28,134014
13,37,359384
50,33,225
5,39,435067
39,5,427341
33,50,347
50,8,119771
5,11,1059972
11,5,1041503
1,38,557356
25,8,337499
25,14,276880
5,9,661137
9,5,683531
50,1,313749
50,34,46307
21,2,716473
15,43,92067
7,1,1185203
27,1,861081
28,4,351490
4,28,373089
14,34,170809
25,50,88178
50,25,86121
46,1,404375
15,33,151268
33,15,153359
30,43,187176
43,30,188704
28,37,131608
37,28,123614
33,1,365599
50,24,63972
24,50,65076
27,8,422556
19,17,139231
17,19,135591
49,1,308867
19,15,272382
15,19,266272
50,43,333
43,50,440
40,32,226726
32,11,385544
14,47,107630
50,12,111043
12,50,110481
29,34,87637
18,50,112665
24,46,80012
50,17,42873
17,50,41176
5,21,608396
21,5,618540
29,1,353767
1,19,655033
1,16,863311
19,1,644272
16,1,856630
15,50,95966
1,4,595401
4,1,588457
28,27,186435
9,39,286681
39,9,283947
14,19,285767
46,12,105763
13,28,247470
16,37,179248
37,16,177518
2,15,715278
13,1,494919
37,43,36800
10,21,426762
21,10,428134
1,43,354835
47,43,173
43,47,70
28,15,192313
50,37,14265
37,50,14491
43,45,1714
45,43,1534
12,4,672404
4,12,687887
1,3,783411
3,1,780322
17,4,194755
4,17,194898
12,1,654398
12,28,172177
14,50,95009
50,14,101643
50,7,214149
7,50,213712
1,17,478924
28,17,138774
50,27,93383
27,50,89721
2,26,487554
25,7,643885
13,27,163940
3,4,718043
4,3,710266
28,16,210728
50,3,161008
3,50,166986
45,28,91353
46,7,245712
5,32,427056
25,27,319323
2,23,653586
5,2,768233
10,6,817631
50,13,60749
13,50,62374
27,49,93996
50,42,99565
2,4,923912
1,15,516682
15,1,515026
46,26,86651
25,20,451091
4,13,629417
26,27,136367
8,3,508230
7,17,645067
1,14,605271
14,1,592825
25,16,299695
16,25,303758
50,16,63527
16,50,65202
5,10,766043
10,5,765393
20,35,125612
26,50,59074
50,26,56839
13,16,390319
16,13,388564
45,27,42297
26,4,359653
4,26,348520
46,45,142
2,32,470005
15,21,242250
21,15,249852
17,27,296536
7,4,741473
4,7,739980
13,9,245958
32,9,338457
9,13,251934
9,32,344360
4,27,415061
27,4,409851
16,24,483894
35,9,206966
50,45,390
17,15,132503
15,17,128336
37,15,57212
16,44,402605
44,16,406855
20,44,327692
44,20,332511
6,30,274757
16,33,112689
50,2,213408
2,50,220544
12,16,589571
16,12,595259
17,16,877594
16,17,898110
24,37,105994
26,16,248017
16,26,248227
30,20,104119
20,30,101336
4,42,334670
7,14,599050
23,45,50285
45,23,50591
37,12,158810
29,16,117052
16,29,110877
4,20,382268
34,13,200722
