origin,destination
BID,WST
WST,BID
FLL,MIA
IAD,DCA
ACK,MVY
MVY,ACK
BOS,PVC
BWI,IAD
PVC,BOS
CPX,SJU
SJU,CPX
GDV,SDY
SDY,GDV
STX,VQS
VQS,STX
CAK,PIT
ECP,PNS
GSO,CLT
RIC,DCA
SJU,STX
STX,SJU
BOS,PWM
PWM,BOS
LBB,MAF
MIA,EYW
ATL,BHM
HSV,ATL
TYS,ATL
GSP,ATL
HPN,BED
HPN,MVY
MVY,HPN
MCI,DSM
JFK,MVY
MVY,JFK
ACK,HPN
HPN,ACK
CHS,JAX
SHV,IAH
ACK,JFK
JFK,ACK
EWR,BOS
RDU,GSP
SAV,ATL
JAX,SRQ
MDW,DTW
IAD,LGA
STL,MCI
CPS,MKC
MKC,CPS
BTR,IAH
PHL,BED
LEX,ATL
SDF,ATL
MSP,ORD
PIT,LGA
DCA,PVD
ATL,CVG
ATL,MCO
CLE,EWR
ATL,TPA
OKC,MEM
DTW,CPS
SFO,SAN
IND,RDU
COS,OMA
AEX,ATL
ATL,AEX
FCA,SLC
TPA,TYS
CLE,ATL
CVG,MSP
BOS,RDU
MEM,CLE
CLT,FLL
PHX,SFO
MCO,LEX
RDU,MIA
LFT,CLT
JFK,ATL
ABQ,RNO
TPA,IAH
CPS,PHL
COS,IAH
MCO,IAH
HOU,IND
PHL,MEM
MCO,EWR
LAX,BFI
BFI,SNA
DFW,SLC
MDW,PIE
DSM,EWR
TPA,OKC
MSP,MSY
DTW,IAH
LGA,RSW
RSW,LGA
MIA,SAT
TPA,BOS
BED,FLL
PHL,DAL
TPA,MSP
DAL,HPN
PDX,MSP
PHX,IND
LAX,MSY
LAS,CLE
MKE,SFO
BFI,DTW
LAX,ATL
SAN,DTW
OAK,DTW
MIA,LAS
JFK,SAN
SAN,JFK
SFO,JFK
JFK,LGA
CPX,VQS
EWR,JFK
MIA,FLL
TEB,HPN
PSG,WRG
SJU,VQS
BET,EEK
STT,STX
STX,STT
LAX,ONT
ONT,LAX
OTZ,WTK
WTK,OTZ
BOS,PVD
BED,PVD
BUF,ROC
KTN,KLW
ANC,ENA
ENA,ANC
LEX,SDF
PBI,MIA
SDF,LEX
RFD,ORD
ITO,KOA
KOA,ITO
AUS,SAT
SAT,AUS
MKE,ORD
SJU,STT
STT,SJU
AKN,DLG
BET,KWN
DAY,CMH
DLG,AKN
KWN,BET
BQN,SJU
PSP,SNA
EWR,PHL
OTZ,RDB
MCO,TPA
WRG,KTN
GSO,ROA
KOA,OGG
OGG,KOA
SDF,CVG
PSG,KLW
PSP,SAN
CDB,SDP
ACY,EWR
PHL,TEB
SIT,PSG
PHL,JFK
ANI,BET
BET,ANI
IND,CVG
HNL,OGG
OGG,HNL
RIC,IAD
STX,SIG
BDL,LGA
LIH,HNL
PBI,RSW
RSW,MIA
PDX,EUG
LAX,SAN
SAN,LAX
PHX,TUS
PSP,LAX
TPA,RSW
IND,SDF
SDF,IND
MBS,TVC
SGU,LAS
HPN,PHL
BDL,EWR
TPA,MLB
VNY,PSP
SIT,WRG
WRG,SIT
ITO,OGG
MFE,LRD
OGG,ITO
EMK,OME
JNU,PSG
SBA,SNA
KSM,ANI
PVD,HPN
CRP,BRO
PDX,SEA
SEA,PDX
SPN,GUM
TEB,ALB
AUS,IAH
PBI,MCO
EWR,ALB
FAI,FYU
FYU,FAI
LRD,HRL
SDF,DAY
BET,SCM
SCM,BET
OME,UNK
UNK,OME
ROW,ELP
LRD,SAT
SAT,LRD
ATL,HSV
JNU,WRG
LRD,DRT
DLH,RHI
SBN,DTW
CDV,ANC
GSO,CAE
HNL,KOA
KOA,HNL
ADQ,AKN
AKN,ADQ
BOS,HPN
HPN,BOS
BET,DLG
DLG,BET
BDL,ABE
BWI,EWR
GSO,RIC
RIC,GSO
IND,ORD
MCO,FLL
ORD,IND
DUT,CDB
BED,TEB
TEB,BED
KTN,SIT
OME,OTZ
OTZ,OME
BWI,JFK
GSP,CHS
MCI,ICT
BOS,JFK
JFK,BOS
RIC,MDT
DAL,AUS
DFW,AUS
SHV,DFW
EWR,MVY
MCO,MIA
BED,EWR
LAS,ONT
ONT,LAS
JNU,YAK
SDF,CMH
LIH,OGG
OGG,LIH
PIT,DTW
BRW,SCC
