origin,destination
367,366
366,367
20,16
34,22
195,244
244,195
14,427
25,34
427,14
325,44
44,325
478,445
445,478
182,282
282,182
171,49
108,88
105,8
67,22
44,182
182,44
14,97
97,14
130,111
16,110
1,83
121,1
89,1
94,1
103,402
103,244
244,103
43,82
17,244
244,17
195,103
103,195
58,54
166,13
195,17
17,195
12,14
38,94
75,1
54,73
29,19
34,18
33,43
500,483
483,500
154,13
24,402
122,1
71,1
15,4
49,18
22,80
1,50
1,7
47,12
1,27
68,63
19,500
11,23
46,38
93,61
211,1
1,211
137,21
27,89
47,1
50,15
14,38
63,47
8,20
9,11
7,122
38,16
180,8
17,1
60,64
27,13
500,24
93,13
7,13
35,46
24,63
7,12
5,336
336,41
3,21
29,90
82,12
27,68
15,37
19,13
18,42
42,18
16,45
27,14
402,20
24,30
27,15
30,103
32,15
9,46
5,37
6,47
57,11
336,19
5,1
23,19
40,19
16,6
17,23
23,17
11,17
17,18
325,282
12,17
16,20
428,103
272,268
44,282
197,482
109,182
182,109
5,56
56,5
254,486
486,254
14,80
402,80
66,91
179,348
59,243
243,59
122,71
53,16
71,122
207,4
117,69
69,117
26,45
45,26
57,4
44,109
109,44
279,295
197,462
123,51
295,279
462,197
152,44
84,41
12,24
254,370
7,27
268,179
105,161
69,48
48,69
71,50
272,348
84,23
406,455
131,12
24,428
208,272
24,17
449,197
197,449
46,50
31,48
48,31
67,34
182,353
55,18
76,31
53,42
42,16
32,107
5,23
23,5
9,78
84,5
27,42
46,71
71,46
253,163
204,6
103,24
55,12
27,181
479,84
208,268
268,208
117,48
135,210
48,117
405,249
132,272
115,41
442,449
80,103
155,206
32,10
10,32
235,198
428,86
26,13
53,7
12,86
128,450
450,128
210,134
71,123
197,470
470,197
249,397
397,249
270,70
210,45
45,210
1,121
132,268
210,310
214,327
147,19
297,59
105,126
31,69
69,31
231,279
279,231
14,103
103,14
197,295
295,197
55,139
25,12
105,67
67,105
46,4
7,20
4,46
324,406
402,428
428,402
179,208
249,254
254,249
25,17
94,58
43,106
14,17
17,14
67,114
30,26
3,26
166,3
12,244
7,16
402,12
6,56
56,6
132,306
71,51
76,48
48,76
49,19
287,247
16,27
247,287
27,16
428,351
91,114
99,262
83,63
210,26
297,306
306,297
147,51
30,13
86,195
120,15
15,120
43,81
15,133
8,1
428,267
50,19
19,50
6,479
28,50
50,28
279,197
132,179
179,132
5,6
19,57
120,43
91,428
63,124
55,114
147,71
30,45
34,103
231,59
59,231
119,428
6,9
84,168
63,33
45,206
1,58
49,67
59,128
324,455
128,59
46,47
76,69
50,4
4,50
91,55
405,394
128,394
394,405
394,128
70,78
78,70
37,166
97,428
33,28
26,134
279,455
50,160
54,53
55,25
197,249
25,55
249,197
4,71
279,59
59,279
103,66
13,134
96,30
91,19
57,15
94,71
13,37
19,71
50,33
5,39
39,5
33,50
50,94
59,449
449,59
50,57
57,50
40,479
479,40
66,131
23,99
99,70
77,71
56,9
9,56
71,77
59,295
59,394
295,59
394,59
50,105
105,50
279,406
50,8
5,11
11,5
166,45
61,33
33,61
14,91
7,167
92,21
9,70
37,63
105,71
33,81
81,61
1,38
43,207
236,28
246,6
25,8
56,11
25,14
5,9
9,5
64,479
59,306
50,1
128,247
247,128
306,59
11,426
66,402
46,63
50,34
36,56
64,5
21,2
59,397
15,43
397,59
397,128
70,241
30,210
59,197
197,59
105,54
59,450
94,46
50,63
63,50
7,1
402,34
34,402
49,55
27,1
28,4
56,78
4,28
50,66
297,132
132,297
91,195
14,34
50,67
67,50
50,120
11,84
30,63
128,449
50,114
13,81
114,50
25,50
50,25
19,120
46,1
121,166
166,194
28,207
128,254
254,128
59,442
15,33
33,15
7,94
67,19
19,105
50,91
30,43
43,30
91,50
33,68
211,134
295,324
20,58
28,37
37,28
58,25
46,96
33,166
8,139
59,405
405,59
33,1
58,71
58,16
103,51
16,58
104,71
211,210
210,211
71,43
70,45
45,70
206,166
279,324
287,128
50,139
128,287
50,24
24,50
27,8
19,17
70,210
17,19
210,70
96,45
26,106
442,128
51,63
128,249
249,128
197,128
49,1
136,166
19,15
15,19
16,167
59,453
453,59
19,119
59,249
50,43
77,43
43,50
249,59
40,32
59,254
254,59
32,11
30,70
70,30
14,47
70,68
68,70
50,12
12,50
132,59
499,128
29,34
18,50
68,193
24,46
50,17
17,50
5,21
21,5
29,1
59,208
208,59
1,19
1,16
19,1
16,1
99,2
15,50
254,279
71,166
1,4
4,1
324,231
59,370
17,94
370,59
28,27
33,126
50,61
61,50
179,297
19,402
59,406
406,59
71,37
9,39
39,9
50,86
63,45
59,247
247,59
70,135
60,56
14,19
94,16
16,94
71,106
46,12
50,81
81,50
71,428
428,71
428,46
49,63
13,28
55,50
50,55
99,40
33,145
81,70
33,66
16,37
37,16
206,70
70,206
59,272
2,15
11,336
25,207
71,68
50,166
13,1
37,43
10,21
21,10
1,43
47,43
43,47
28,15
59,499
50,37
37,50
126,236
43,45
45,43
105,16
16,105
58,96
70,5
5,70
59,488
488,59
12,4
7,71
4,12
121,16
67,27
59,287
287,59
71,30
96,47
1,3
3,1
72,11
4,166
17,4
4,17
126,166
123,166
12,1
12,28
14,50
50,14
50,68
268,10
50,7
7,50
78,210
1,17
28,17
50,27
27,50
2,26
179,59
122,30
35,89
25,7
13,27
272,10
13,71
196,7
59,324
324,59
26,78
3,4
4,3
71,35
28,16
50,3
3,50
133,138
2,56
56,2
45,28
16,67
99,210
2,207
210,99
46,7
54,428
68,9
70,43
5,32
43,70
42,71
211,16
94,13
56,32
32,56
43,126
61,21
25,27
94,35
35,94
210,9
2,23
106,99
78,106
63,16
16,63
10,208
208,10
82,126
5,2
136,45
10,6
50,13
13,50
27,49
50,42
33,428
2,4
60,40
130,23
99,258
1,15
15,1
10,132
51,30
30,51
46,26
25,20
4,13
26,27
8,3
402,1
45,71
71,45
99,135
7,17
5,72
1,14
14,1
25,16
16,25
50,16
16,50
53,24
5,10
10,5
23,92
10,56
20,35
26,50
50,26
336,5
13,16
16,13
106,262
262,258
70,82
45,27
26,4
4,26
46,45
122,45
45,122
2,32
15,21
21,15
131,16
16,123
51,35
17,27
7,4
4,7
13,9
32,9
9,13
9,32
428,15
428,27
4,27
27,4
16,24
5,137
35,9
50,45
1,97
17,15
15,17
265,262
262,265
43,99
53,428
37,15
7,207
16,44
44,16
20,44
44,20
428,73
27,207
55,15
6,30
16,33
50,2
2,50
12,16
16,12
17,16
16,17
24,37
10,306
306,10
57,45
16,428
26,16
16,26
30,20
20,30
55,27
27,55
16,103
4,42
7,14
99,211
23,45
45,23
146,1
12,61
262,305
305,262
50,134
134,50
50,210
37,12
81,16
70,194
21,100
60,71
160,20
29,16
16,29
4,20
34,13
210,16
26,56
56,26
14,53
16,4
4,16
64,106
45,19
25,13
3,5
13,25
5,3
16,207
44,27
27,44
43,20
21,57
479,26
63,9
70,57
297,10
15,27
13,56
26,25
25,26
51,60
33,262
262,169
169,262
3,17
15,10
10,15
12,13
17,13
59,174
5,166
174,59
166,5
15,32
51,70
70,51
133,479
38,44
59,10
10,59
50,21
21,50
262,100
19,70
40,30
40,45
11,30
19,21
11,43
78,147
41,15
21,51
70,58
59,32
32,59
148,99
33,56
1,44
33,23
77,99
28,262
50,9
9,50
262,46
6,28
262,147
1,21
21,1
2,12
44,428
63,5
103,2
13,11
11,13
3,10
336,30
30,336
6,50
56,4
336,4
4,10
4,32
32,4
5,4
4,5
51,262
146,13
51,72
28,5
262,47
47,262
32,13
5,71
71,5
4,11
11,4
63,44
44,63
50,23
23,50
123,64
64,123
50,5
5,50
1,5
50,10
10,50
21,12
21,428
28,10
19,5
5,19
40,71
17,21
13,44
59,11
11,59
50,11
11,50
94,5
27,56
9,12
75,52
1,32
1,10
10,1
5,7
7,5
5,42
42,5
23,16
25,56
5,16
16,5
59,5
5,59
32,25
11,27
428,64
27,11
31,11
11,31
24,5
31,40
40,31
58,10
11,34
39,7
17,10
10,17
428,41
12,5
5,205
55,32
17,5
5,17
69,5
5,69
17,36
39,428
31,5
5,31
12,11
23,14
31,56
31,32
31,10
10,31
14,11
16,10
10,16
59,31
128,4
4,128
59,207
48,9
59,4
4,59
59,19
59,3
3,59
59,50
59,28
59,13
13,59
59,121
59,34
34,59
59,12
12,59
59,17
17,59
59,1
1,59
3,31
31,3
198,31
31,198
13,31
59,16
31,63
31,4
4,31
12,31
31,12
17,31
197,484
484,197
453,470
405,442
470,442
197,463
463,197
449,442
197,453
495,475
475,254
254,475
497,397
397,497
495,254
254,495
494,254
475,486
254,494
487,254
254,487
498,254
249,498
498,249
249,497
497,249
254,499
499,254
494,249
249,494
249,485
485,249
488,249
249,488
475,249
499,249
385,408
482,197
411,408
408,411
408,409
409,408
197,480
197,442
442,197
492,197
448,128
462,482
484,482
480,492
409,385
484,463
407,447
446,391
446,132
132,391
407,132
132,407
132,447
447,132
272,132
