nodeID,airportCode
1,ATL
2,DEN
3,DFW
4,ORD
5,LAX
6,LAS
7,MCO
8,CLT
9,PHX
10,SEA
11,SFO
12,EWR
13,IAH
14,BOS
15,MSP
16,MIA
17,JFK
18,LGA
19,DTW
20,FLL
21,SLC
22,DCA
23,SAN
24,PHL
25,BWI
26,AUS
27,TPA
28,BNA
29,MDW
30,DAL
31,HNL
32,PDX
33,STL
34,IAD
35,HOU
36,SMF
37,MSY
38,RDU
39,SJC
40,OAK
41,SNA
42,RSW
43,MCI
44,SJU
45,SAT
46,IND
47,CLE
48,OGG
49,PIT
50,CVG
51,CMH
52,BUR
53,PBI
54,JAX
55,BDL
56,ONT
57,MKE
58,CHS
59,ANC
60,ABQ
61,OMA
62,BOI
63,MEM
64,RNO
65,ORF
66,BUF
67,RIC
68,OKC
69,KOA
70,ELP
71,SDF
72,GEG
73,SRQ
74,MYR
75,SAV
76,LIH
77,GRR
78,TUS
79,LGB
80,PVD
81,TUL
82,DSM
83,BHM
84,PSP
85,SFB
86,ALB
87,SYR
88,PNS
89,TYS
90,PIE
91,ROC
92,BZN
93,COS
94,GSP
95,VPS
96,LIT
97,PWM
98,FAT
99,AZA
100,MSN
101,AVL
102,PGD
103,HPN
104,XNA
105,GSO
106,ICT
107,EUG
108,ECP
109,STT
110,EYW
111,MAF
112,MHT
113,JAN
114,MDT
115,SBA
116,ISP
117,ITO
118,FSD
119,BTV
120,CID
121,HSV
122,LEX
123,DAY
124,SGF
125,ILM
126,CAE
127,RDM
128,FAI
129,MFR
130,LBB
131,ACY
132,JNU
133,FAR
134,HRL
135,MFE
136,CHA
137,FCA
138,MSO
139,ABE
140,ATW
141,JAC
142,TLH
143,PSC
144,BIL
145,AMA
146,BGR
147,SBN
148,FWA
149,GPT
150,HVN
151,RAP
152,BQN
153,TTN
154,BTR
155,CRP
156,BLI
157,IDA
158,STS
159,GRB
160,FNT
161,ROA
162,ASE
163,TVC
164,PIA
165,DAB
166,SHV
167,AGS
168,SBP
169,MLI
170,GNV
171,CAK
172,MOB
173,CHO
174,PAE
175,BIS
176,GJT
177,MTJ
178,MRY
179,KTN
180,LFT
181,MLB
182,STX
183,EGE
184,PVU
185,HDN
186,TRI
187,AVP
188,DRO
189,BMI
190,FAY
191,CRW
192,BLV
193,EVV
194,MGM
195,ACK
196,LCK
197,BET
198,GUM
199,BFL
200,OAJ
201,GTF
202,MOT
203,LBE
204,SGU
205,SWF
206,BRO
207,RFD
208,SIT
209,SAF
210,LRD
211,AEX
212,USA
213,YUM
214,DLH
215,HHH
216,ACV
217,SCE
218,PSE
219,GRK
220,SUN
221,RDD
222,FLG
223,MKK
224,LNK
225,HTS
226,MLU
227,GFK
228,TOL
229,CSG
230,RST
231,ADQ
232,HLN
233,LAN
234,ELM
235,SPN
236,COU
237,PHF
238,CWA
239,LYH
240,ORH
241,ABI
242,MHK
243,ENA
244,MVY
245,PUW
246,SCK
247,SCC
248,PBG
249,OME
250,SPI
251,CPR
252,AZO
253,MBS
254,OTZ
255,XWA
256,LSE
257,EWN
258,GRI
259,CMI
260,ERI
261,LCH
262,IFP
263,FSM
264,IAG
265,ACT
266,ITH
267,PSM
268,WRG
269,CLL
270,ROW
271,SJT
272,PSG
273,GUC
274,CKB
275,SBY
276,MQT
277,GTR
278,LWS
279,AKN
280,LAW
281,TYR
282,VQS
283,DHN
284,VLD
285,COD
286,YKM
287,BRW
288,EAT
289,TXK
290,HOM
291,ABY
292,LNY
293,BQK
294,ALW
295,DLG
296,PGV
297,CDV
298,SPS
299,BLD
300,HGR
301,GCK
302,FLO
303,JRV
304,SWO
305,GGG
306,YAK
307,PLN
308,BJI
309,TIQ
310,DRT
311,SUX
312,BFF
313,SHR
314,BPT
315,GCN
316,GCC
317,PRC
318,SLN
319,BRD
320,EAR
321,CIU
322,CMX
323,ABR
324,DUT
325,CPX
326,DIK
327,RHI
328,CYS
329,ESC
330,IMT
331,JLN
332,ART
333,MEI
334,CNY
335,BKW
336,BFI
337,LAR
338,PAH
339,STC
340,BTM
341,JMS
342,PGA
343,EAU
344,HOB
345,OTH
346,TWF
347,DBQ
348,KLW
349,PIR
350,ALO
351,HYA
352,DEC
353,SIG
354,RBN
355,LWB
356,PPG
357,SMX
358,MCN
359,ATY
360,OWB
361,HYS
362,PIB
363,TUP
364,RKS
365,PQI
366,WST
367,BID
368,FNL
369,HIB
370,RDB
371,APN
372,OGD
373,RIW
374,INL
375,CVN
376,LBF
377,SHD
378,1G4
379,BGM
380,CDC
381,LBL
382,PIH
383,TEX
384,MKG
385,LKE
386,DVL
387,CGI
388,VEL
389,ROP
390,FRD
391,GST
392,SSB
393,CCR
394,GAL
395,SPB
396,GLH
397,UNK
398,PUB
399,MWA
400,BIH
401,LEB
402,BED
403,MCW
404,ALS
405,EMK
406,CDB
407,HNS
408,KEH
409,RSJ
410,DQS
411,FBS
412,BJC
413,ESD
414,BHB
415,TVF
416,JST
417,EKO
418,CEC
419,IPL
420,DDC
421,PKB
422,OGS
423,WYS
424,RCE
425,TBN
426,SBD
427,PVC
428,TEB
429,FOD
430,JHM
431,VCT
432,IWD
433,RKD
434,DHB
435,MSL
436,WFB
437,MAZ
438,CEZ
439,RBH
440,BKG
441,MGW
442,KSM
443,TSM
444,SVC
445,SDY
446,HNH
447,SGY
448,CXF
449,ANI
450,FYU
451,VAK
452,LUP
453,HPB
454,DSI
455,SDP
456,LNS
457,LPS
458,AUG
459,DUJ
460,VDZ
461,RUT
462,KWN
463,KPN
464,ILG
465,HRO
466,MBL
467,CNM
468,SLK
469,PDT
470,SCM
471,HHR
472,UIN
473,MSS
474,IRK
475,ORV
476,HOT
477,AOO
478,GDV
479,VNY
480,CYF
481,SOW
482,EEK
483,MKC
484,KUK
485,SVA
486,WTK
487,KVL
488,GAM
489,BFD
490,SOV
491,AIA
492,OOK
493,JBR
494,BKC
495,IAN
496,MUE
497,SMK
498,SHH
499,PHO
500,CPS
