nodeID,airportCode
0,ATL
1,DEN
2,DFW
3,ORD
4,LAX
5,LAS
6,MCO
7,CLT
8,PHX
9,SEA
10,SFO
11,EWR
12,IAH
13,BOS
14,MSP
15,MIA
16,JFK
17,LGA
18,DTW
19,FLL
20,SLC
21,DCA
22,SAN
23,PHL
24,BWI
25,AUS
26,TPA
27,BNA
28,MDW
29,DAL
30,HNL
31,PDX
32,STL
33,IAD
34,HOU
35,SMF
36,MSY
37,RDU
38,SJC
39,OAK
40,SNA
41,RSW
42,MCI
43,SJU
44,SAT
45,IND
46,CLE
47,OGG
48,PIT
49,CVG
50,CMH
51,BUR
52,PBI
53,JAX
54,BDL
55,ONT
56,MKE
57,CHS
58,ANC
59,ABQ
60,OMA
61,BOI
62,MEM
63,RNO
64,ORF
65,BUF
66,RIC
67,OKC
68,KOA
69,ELP
70,SDF
71,GEG
72,SRQ
73,MYR
74,SAV
75,LIH
76,GRR
77,TUS
78,LGB
79,PVD
80,TUL
81,DSM
82,BHM
83,PSP
84,SFB
85,ALB
86,SYR
87,PNS
88,TYS
89,PIE
90,ROC
91,BZN
92,COS
93,GSP
94,VPS
95,LIT
96,PWM
97,FAT
98,AZA
99,MSN
100,AVL
101,PGD
102,HPN
103,XNA
104,GSO
105,ICT
106,EUG
107,ECP
108,STT
109,EYW
110,MAF
111,MHT
112,JAN
113,MDT
114,SBA
115,ISP
116,ITO
117,FSD
118,BTV
119,CID
120,HSV
121,LEX
122,DAY
123,SGF
124,ILM
125,CAE
126,RDM
127,FAI
128,MFR
129,LBB
130,ACY
131,JNU
132,FAR
133,HRL
134,MFE
135,CHA
136,FCA
137,MSO
138,ABE
139,ATW
140,JAC
141,TLH
142,PSC
143,BIL
144,AMA
145,BGR
146,SBN
147,FWA
148,GPT
149,HVN
150,RAP
151,BQN
152,TTN
153,BTR
154,CRP
155,BLI
156,IDA
157,STS
158,GRB
159,FNT
160,ROA
161,ASE
162,TVC
163,PIA
164,DAB
165,SHV
166,AGS
167,SBP
168,MLI
169,GNV
170,CAK
171,MOB
172,CHO
173,PAE
174,BIS
175,GJT
176,MTJ
177,MRY
178,KTN
179,LFT
180,MLB
181,STX
182,EGE
183,PVU
184,HDN
185,TRI
186,AVP
187,DRO
188,BMI
189,FAY
190,CRW
191,BLV
192,EVV
193,MGM
194,ACK
195,LCK
196,BET
197,GUM
198,BFL
199,OAJ
200,GTF
201,MOT
202,LBE
203,SGU
204,SWF
205,BRO
206,RFD
207,SIT
208,SAF
209,LRD
210,AEX
211,USA
212,YUM
213,DLH
214,HHH
215,ACV
216,SCE
217,PSE
218,GRK
219,SUN
220,RDD
221,FLG
222,MKK
223,LNK
224,HTS
225,MLU
226,GFK
227,TOL
228,CSG
229,RST
230,ADQ
231,HLN
232,LAN
233,ELM
234,SPN
235,COU
236,PHF
237,CWA
238,LYH
239,ORH
240,ABI
241,MHK
242,ENA
243,MVY
244,PUW
245,SCK
246,SCC
247,PBG
248,OME
249,SPI
250,CPR
251,AZO
252,MBS
253,OTZ
254,XWA
255,LSE
256,EWN
257,GRI
258,CMI
259,ERI
260,LCH
261,IFP
262,FSM
263,IAG
264,ACT
265,ITH
266,PSM
267,WRG
268,CLL
269,ROW
270,SJT
271,PSG
272,GUC
273,CKB
274,SBY
275,MQT
276,GTR
277,LWS
278,AKN
279,LAW
280,TYR
281,VQS
282,DHN
283,VLD
284,COD
285,YKM
286,BRW
287,EAT
288,TXK
289,HOM
290,ABY
291,LNY
292,BQK
293,ALW
294,DLG
295,PGV
296,CDV
297,SPS
298,BLD
299,HGR
300,GCK
301,FLO
302,JRV
303,SWO
304,GGG
305,YAK
306,PLN
307,BJI
308,TIQ
309,DRT
310,SUX
311,BFF
312,SHR
313,BPT
314,GCN
315,GCC
316,PRC
317,SLN
318,BRD
319,EAR
320,CIU
321,CMX
322,ABR
323,DUT
324,CPX
325,DIK
326,RHI
327,CYS
328,ESC
329,IMT
330,JLN
331,ART
332,MEI
333,CNY
334,BKW
335,BFI
336,LAR
337,PAH
338,STC
339,BTM
340,JMS
341,PGA
342,EAU
343,HOB
344,OTH
345,TWF
346,DBQ
347,KLW
348,PIR
349,ALO
350,HYA
351,DEC
352,SIG
353,RBN
354,LWB
355,PPG
356,SMX
357,MCN
358,ATY
359,OWB
360,HYS
361,PIB
362,TUP
363,RKS
364,PQI
365,WST
366,BID
367,FNL
368,HIB
369,RDB
370,APN
371,OGD
372,RIW
373,INL
374,CVN
375,LBF
376,SHD
377,1G4
378,BGM
379,CDC
380,LBL
381,PIH
