origin,destination,passengers
366,365,13413
365,366,13666
19,15,5379
33,21,5631
194,243,927
243,194,1004
13,426,6062
24,33,1943
426,13,6951
324,43,3012
43,324,2952
477,444,1227
444,477,1258
181,281,55
281,181,65
170,48,198
107,87,326
104,7,140044
66,21,5750
43,181,20770
181,43,21452
13,96,2290
96,13,313
129,110,135
15,109,59804
0,82,324182
120,0,191072
88,0,214623
93,0,338686
102,401,91
102,243,1577
243,102,1486
42,81,221
16,243,23606
243,16,23073
194,102,11618
102,194,12818
57,53,759
165,12,35065
194,16,26463
16,194,24337
11,13,373122
37,93,982
74,0,346606
53,72,625
28,18,167608
33,17,117580
32,42,100075
499,482,109
482,499,63
153,12,66676
23,401,219
121,0,172305
70,0,298622
14,3,525538
48,17,161389
21,79,158982
0,49,313927
0,6,1191210
46,11,165311
0,26,856254
67,62,12
18,499,47
10,22,547492
45,37,6228
92,60,68
210,0,32456
0,210,31038
136,20,84975
26,88,75
46,0,375945
49,14,93547
13,37,232616
62,46,53
7,19,357273
8,10,458856
6,121,1630
37,15,248799
179,7,27552
16,0,466195
59,63,66
26,12,163220
499,23,176
92,12,36544
6,12,515356
34,45,42690
23,62,19341
6,11,868513
4,335,545
335,40,46
2,20,455427
28,89,5
81,11,9614
26,67,7206
14,36,57408
18,12,231828
17,41,121222
41,17,126742
15,44,47140
26,13,297139
401,19,115
23,29,1809
26,14,246219
29,102,45
31,14,220648
8,45,190234
4,36,182716
5,46,127662
56,10,136
335,18,65
4,0,791335
22,18,159778
39,18,1285
15,5,243823
16,22,318496
22,16,328489
10,16,900131
58,58,1649
25,25,4
98,98,17
401,401,116
196,196,91
27,27,148
24,24,39
405,405,117
7,7,48
49,49,244
29,29,8
2,2,58
323,323,20
127,127,355
19,19,26
393,393,13
104,104,90
12,12,17
16,16,51
131,131,213
5,5,4
15,15,883
8,8,90
454,454,2
207,207,366
43,43,9
26,26,143
16,17,3363
324,281,26
11,16,2575
15,19,4117
427,102,5
271,267,24819
43,281,12639
196,481,2466
108,181,25675
181,108,20536
4,55,1197
55,4,1240
253,485,2392
485,253,2274
13,79,39
401,79,1
65,90,59
178,347,14280
58,242,65076
242,58,69350
121,70,45
52,15,9328
70,121,139
206,3,7232
116,68,177
68,116,45
25,44,837
44,25,6376
56,3,132821
43,108,59926
108,43,83235
278,294,881
196,461,3534
122,50,482
294,278,855
461,196,3956
151,43,468
83,40,8
11,23,20904
253,369,271
6,26,14921
267,178,27192
104,160,421
68,47,162689
47,68,161141
70,49,185
271,347,16
83,22,140
405,454,2142
130,11,284
23,427,21
207,271,226
23,16,6403
448,196,307
196,448,296
45,49,658
30,47,955829
47,30,948669
66,33,46373
181,352,6
54,17,18334
75,30,620156
52,41,1034
41,15,18786
31,106,340
4,22,55248
22,4,63452
8,77,137277
83,4,8291
26,41,4140
45,70,1100
70,45,118
252,162,48
203,5,439
102,23,107
54,11,2128
26,180,94
478,83,20
207,267,48
267,207,199
116,47,32141
134,209,41
47,116,33820
404,248,20
131,271,25132
114,40,1
441,448,34
79,102,168
154,205,31
31,9,585917
9,31,566109
234,197,41071
427,85,2
25,12,252571
52,6,4548
11,85,32885
127,449,4724
449,127,4134
209,133,474
70,122,15
196,469,2529
469,196,2897
248,396,1843
396,248,1802
269,69,46
209,44,1137
44,209,2609
0,120,185066
131,267,152
209,309,43
213,326,45
146,18,17625
296,58,20411
104,125,98
30,68,585698
68,30,610931
230,278,23
278,230,22
13,102,1643
102,13,1578
196,294,219
294,196,149
54,138,76
24,11,3890
104,66,59
66,104,246
45,3,180416
6,19,206567
3,45,169173
323,405,212
401,427,48
427,401,50
178,207,31333
248,253,22070
253,248,714
24,16,89078
93,57,182
42,105,277
13,16,455872
16,13,456308
66,113,203
29,25,258969
2,25,494260
165,2,87154
11,243,12
6,15,477442
401,11,1232
5,55,244235
55,5,243877
131,305,15085
70,50,14
75,47,116126
47,75,114583
48,18,76529
286,246,78
15,26,251790
246,286,88
26,15,247324
427,350,37
90,113,93
98,261,392
82,62,80
209,25,79
296,305,9342
305,296,11223
146,50,241
29,12,129535
85,194,12
119,14,30558
14,119,30077
42,80,314
14,132,130220
7,0,406501
427,266,13
49,18,77689
18,49,77095
5,478,363
27,49,662
49,27,394
278,196,1
131,178,17068
178,131,20106
4,5,1136509
18,56,102698
119,42,9
90,427,7
62,123,151
54,113,74
146,70,104
29,44,298863
33,102,350
230,58,68846
58,230,68753
118,427,9
5,8,766108
83,167,4
62,32,614
44,205,166
0,57,368142
48,66,206
58,127,181576
323,454,208
127,58,175733
45,46,85
75,68,28325
49,3,156433
3,49,156198
90,54,126
404,393,33
127,393,5990
393,404,3
393,127,5309
69,77,4
77,69,586
36,165,173
96,427,5
32,27,134014
25,133,48239
278,454,29
49,159,164
53,52,451
54,24,177031
196,248,76
24,54,170384
248,196,72
3,70,97630
278,58,28079
58,278,29706
102,65,33
12,133,38047
95,29,104343
90,18,70018
56,14,132438
93,70,194
12,36,359384
18,70,50757
49,32,225
4,38,435067
38,4,427341
32,49,347
49,93,168
58,448,4202
448,58,2355
49,56,3534
56,49,3719
39,478,89
478,39,42
65,130,1511
22,98,8080
98,69,1940
76,70,2
55,8,267930
8,55,269389
70,76,120
58,294,23087
58,393,167
294,58,23056
393,58,105
49,104,108
104,49,298
278,405,75
49,7,119771
4,10,1059972
10,4,1041503
165,44,47
60,32,79114
32,60,79110
13,90,39826
6,166,193
91,20,110164
8,69,216322
36,62,497
104,70,170
32,80,48750
80,60,168
0,37,557356
42,206,120
235,27,190
245,5,54302
24,7,337499
55,10,111125
24,13,276880
4,8,661137
8,4,683531
63,478,27
58,305,35
49,0,313749
127,246,632
246,127,259
305,58,210
10,425,6859
65,401,930
45,62,197
49,33,46307
35,55,198558
63,4,205205
20,1,716473
58,396,4415
14,42,92067
396,58,4398
396,127,3
69,240,105
29,209,32
58,196,68834
196,58,67413
104,53,3
58,449,1
93,45,102
49,62,312
62,49,221
6,0,1185203
401,33,95
33,401,299
48,54,3845
26,0,861081
27,3,351490
55,77,380
3,27,373089
49,65,139
296,131,83
131,296,138
90,194,12
13,33,170809
49,66,49
66,49,88
49,119,58
10,83,152761
29,62,40046
127,448,31
49,113,54
12,80,96390
113,49,77
24,49,88178
49,24,86121
18,119,17974
45,0,404375
120,165,129
165,193,48
27,206,70
127,253,5
253,127,143
58,441,1923
14,32,151268
32,14,153359
6,93,3351
66,18,56036
18,104,13652
49,90,109
29,42,187176
42,29,188704
90,49,109
32,67,65981
210,133,9725
294,323,45
19,57,28029
27,36,131608
36,27,123614
57,24,118998
45,95,49
32,165,69
7,138,53388
58,404,28
404,58,14
32,0,365599
57,70,9232
57,15,47004
102,50,303
15,57,47880
103,70,76
210,209,660
209,210,5925
70,42,263
69,44,80527
44,69,78954
205,165,74
278,323,601
286,127,174
49,138,128
127,286,13
49,23,63972
23,49,65076
26,7,422556
18,16,139231
69,209,8537
16,18,135591
209,69,259
95,44,181
25,105,230
441,127,11
50,62,446
127,248,9
248,127,6
196,127,96
48,0,308867
135,165,140
18,14,272382
14,18,266272
15,166,785
58,452,31
452,58,36
18,118,19424
58,248,44334
49,42,333
76,42,92
42,49,440
248,58,23141
39,31,226726
58,253,20491
253,58,41010
31,10,385544
29,69,167032
69,29,175331
13,46,107630
69,67,525
67,69,155
49,11,111043
11,49,110481
131,58,105617
498,127,17
28,33,87637
17,49,112665
67,192,63
23,45,80012
49,16,42873
16,49,41176
4,20,608396
20,4,618540
28,0,353767
58,207,622
207,58,936
0,18,655033
0,15,863311
18,0,644272
15,0,856630
98,1,1764
14,49,95966
253,278,53
70,165,135
0,3,595401
3,0,588457
323,230,12
58,369,10461
16,93,282
369,58,10542
27,26,186435
32,125,102
49,60,36
60,49,36
178,296,119
18,401,160
58,405,6620
405,58,2825
70,36,7086
8,38,286681
38,8,283947
49,85,52
62,44,575
58,246,64794
246,58,64016
69,134,421
59,55,342
13,18,285767
93,15,20247
15,93,20135
70,105,17
45,11,105763
49,80,190
80,49,189
70,427,32
427,70,10
427,45,13
48,62,12
12,27,247470
54,49,144
49,54,147
98,39,2737
32,144,166
80,69,4
32,65,157
15,36,179248
36,15,177518
205,69,186
69,205,11
58,271,30
1,14,715278
10,335,11
24,206,110
70,67,378
49,165,147
12,0,494919
36,42,36800
9,20,426762
20,9,428134
0,42,354835
46,42,173
42,46,70
27,14,192313
58,498,13
49,36,14265
36,49,14491
125,235,149
42,44,1714
44,42,1534
104,15,20894
15,104,19530
57,95,318
69,4,98302
4,69,87348
58,487,2
487,58,16
11,3,672404
6,70,95942
3,11,687887
120,15,817
66,26,25418
58,286,27680
286,58,27138
70,29,8428
95,46,61
0,2,783411
2,0,780322
71,10,50307
3,165,173
16,3,194755
3,16,194898
125,165,71
122,165,65
11,0,654398
11,27,172177
13,49,95009
49,13,101643
49,67,76
267,9,249
49,6,214149
6,49,213712
77,209,297
0,16,478924
27,16,138774
49,26,93383
26,49,89721
1,25,487554
178,58,10
121,29,41
34,88,11573
24,6,643885
12,26,163940
271,9,34
12,70,44083
195,6,171
58,323,13256
323,58,18490
25,77,565
2,3,718043
3,2,710266
70,34,20257
27,15,210728
49,2,161008
2,49,166986
132,137,2
1,55,281703
55,1,295369
44,27,91353
15,66,43059
98,209,617
1,206,621
209,98,2802
45,6,245712
53,427,15
67,8,126290
69,42,72
4,31,427056
42,69,126
41,70,13327
210,15,357
93,12,22141
55,31,42015
31,55,40554
42,125,152
60,20,52757
24,26,319323
93,34,12565
34,93,12968
209,8,3
1,22,653586
105,98,15419
77,105,7
62,15,44635
15,62,45721
9,207,30627
207,9,34267
81,125,102
4,1,768233
135,44,2
9,5,817631
49,12,60749
12,49,62374
26,48,93996
49,41,99565
32,427,7
1,3,923912
59,39,35932
129,22,156
98,257,15611
0,14,516682
14,0,515026
9,131,165043
50,29,45856
29,50,44953
45,25,86651
24,19,451091
3,12,629417
25,26,136367
7,2,508230
401,0,159
44,70,9
70,44,67
98,134,173
6,16,645067
4,71,49011
0,13,605271
13,0,592825
24,15,299695
15,24,303758
49,15,63527
15,49,65202
52,23,155815
4,9,766043
9,4,765393
22,91,2761
9,55,220434
19,34,125612
25,49,59074
49,25,56839
335,4,601
12,15,390319
15,12,388564
105,261,431
261,257,694
69,81,70
44,26,42297
25,3,359653
3,25,348520
45,44,142
121,44,7
44,121,3
1,31,470005
14,20,242250
20,14,249852
130,15,19146
15,122,76
50,34,38744
16,26,296536
6,3,741473
3,6,739980
12,8,245958
31,8,338457
8,12,251934
8,31,344360
427,14,8
427,26,8
3,26,415061
26,3,409851
15,23,483894
4,136,10320
34,8,206966
49,44,390
0,96,75260
16,14,132503
14,16,128336
264,261,371
261,264,288
42,98,137
52,427,610
36,14,57212
6,206,227
15,43,402605
43,15,406855
19,43,327692
43,19,332511
427,72,5
26,206,119
54,14,95039
5,29,274757
15,32,112689
49,1,213408
1,49,220544
11,15,589571
15,11,595259
16,15,877594
15,16,898110
23,36,105994
9,305,160
305,9,161
56,44,76
15,427,39
25,15,248017
15,25,248227
29,19,104119
19,29,101336
54,26,82651
26,54,84822
15,102,3330
3,41,334670
6,13,599050
98,210,6429
22,44,50285
44,22,50591
145,0,561
11,60,213
261,304,268
304,261,268
49,133,16
133,49,16
49,209,70
36,11,158810
80,15,3015
69,193,129
20,99,291
59,70,150
159,19,3737
28,15,117052
15,28,110877
3,19,382268
33,12,200722
209,15,246
25,55,36391
55,25,39217
13,52,205130
15,3,570085
3,15,567472
63,105,167
44,18,65365
24,12,143832
2,4,942494
12,24,145153
4,2,933588
15,206,222
43,26,175166
26,43,171705
42,19,50709
20,56,21510
478,25,57
62,8,49886
69,56,67
296,9,8
14,26,243664
12,55,30027
25,24,142047
24,25,140065
50,59,138
32,261,1104
261,168,642
168,261,817
2,16,228739
14,9,422593
9,14,415391
11,12,527059
16,12,46270
58,173,263
4,165,4242
173,58,54
165,4,4347
14,31,225111
50,69,172
69,50,59
132,478,4
37,43,32843
58,9,909870
9,58,915123
49,20,84113
20,49,85976
261,99,1439
18,69,2
39,29,82603
39,44,140
10,29,37146
18,20,230675
10,42,8359
77,146,73
40,14,73716
20,50,35
69,57,497
58,31,55029
31,58,52337
147,98,10368
32,55,448
0,43,194354
32,22,49114
76,98,28632
27,261,351
49,8,35428
8,49,36078
261,45,590
5,27,197382
261,146,657
0,20,469507
20,0,467561
1,11,417081
43,427,4
62,4,58823
102,1,2
12,10,466559
10,12,467182
2,9,533406
335,29,48
29,335,253
5,49,135643
55,3,996
335,3,53
3,9,619252
3,31,247874
31,3,248831
4,3,1059428
3,4,1043026
50,261,502
145,12,261
50,71,151
27,4,255458
261,46,636
46,261,644
31,12,102326
4,70,26210
70,4,26159
3,10,733587
10,3,733569
62,43,3
43,62,3
49,22,3705
22,49,4034
122,63,139
63,122,135
49,4,58077
4,49,60031
0,4,795557
49,9,79826
9,49,83861
20,11,96731
20,427,46
27,9,141342
18,4,405126
4,18,414909
39,70,121
16,20,300398
12,43,112814
58,10,27404
10,58,29629
49,10,65
10,49,205
93,4,6
26,55,133
8,11,346448
74,51,3
0,31,193134
0,9,494181
9,0,502447
4,6,416733
6,4,415556
4,41,15557
41,4,13338
22,15,54634
24,55,141
4,15,548772
15,4,543320
58,4,45678
4,58,42699
31,24,172
10,26,62998
427,63,9
26,10,62253
30,10,550238
10,30,545515
23,4,333904
30,39,181655
39,30,177410
57,9,44445
10,33,371860
38,6,4
16,9,426662
9,16,433258
427,40,47
11,4,840445
4,204,141
54,31,93
16,4,1278305
4,16,1280487
68,4,285585
4,68,294013
16,35,45782
38,427,23
30,4,1043872
4,30,1048898
11,10,762902
22,13,166616
30,55,52437
30,31,125766
30,9,373720
9,30,361011
13,10,507575
15,9,82410
9,15,86224
58,30,21665
127,3,14395
3,127,15297
58,206,1
47,8,125889
58,3,106782
3,58,102884
58,18,3
58,2,54400
2,58,51399
58,49,1
58,27,3
58,12,15448
12,58,14499
58,120,1
58,33,67
33,58,642
58,11,14468
11,58,13257
58,16,16
16,58,7
58,0,28048
0,58,29045
2,30,158834
30,2,164308
197,30,91836
30,197,90376
12,30,91264
58,15,25
30,62,2
30,3,96009
3,30,92468
11,30,61175
30,11,61810
16,30,75430
448,448,5
196,483,2127
483,196,2776
452,469,892
404,441,51
469,441,20
196,462,3452
462,196,3446
448,441,1583
196,452,3466
248,248,1009
253,253,29
494,474,1177
474,253,2148
253,474,2317
496,396,1632
396,496,1717
494,253,1915
253,494,1731
493,253,2020
474,485,69
253,493,2285
486,253,2436
253,486,2141
497,253,15
248,497,2826
497,248,2392
248,496,380
496,248,471
253,498,3013
498,253,2740
493,248,22
248,493,7
248,484,2444
484,248,1882
487,248,2378
248,487,1934
474,248,19
498,248,65
384,407,964
481,196,2540
410,407,347
407,410,3448
407,408,81
408,407,3020
196,479,2459
196,441,1369
441,196,1346
491,196,2119
447,127,4507
461,481,878
483,481,10
155,155,2
407,407,2325
384,384,3899
479,491,35
408,384,159
483,462,23
406,446,1023
445,390,87
445,131,5625
131,390,9654
406,131,7220
131,406,7643
131,446,4735
446,131,4620
271,131,24538
131,445,5705
445,446,1
446,445,8
207,131,50975
390,207,9
207,390,19
459,459,11
390,406,15
390,131,10036
131,207,50830
390,445,48
230,230,24
407,384,1298
234,308,24059
197,388,918
388,308,192
308,388,173
234,388,9077
479,196,2590
196,491,2827
197,234,39038
452,196,3244
196,404,3808
404,196,4837
404,448,1
118,243,15
479,396,1
427,100,1
100,102,1
57,102,6683
491,479,43
242,489,2
441,452,36
115,124,2
102,62,55
62,102,56
404,404,8
289,289,390
289,489,3603
489,289,3496
479,462,1226
462,479,1381
452,450,1108
450,452,1032
469,450,536
469,452,747
462,491,11
491,462,8
407,456,9
456,407,2354
441,404,42
242,289,1
410,384,549
423,407,279
384,408,159
388,234,9046
404,469,84
469,404,60
441,469,21
423,384,676
461,483,9
450,441,29
441,483,3
404,496,7
483,491,2
491,483,15
404,450,19
452,441,56
404,452,60
452,404,61
197,308,134
461,294,11
196,450,3879
450,196,3648
481,469,19
207,178,26427
278,289,14
459,289,6
305,207,12
242,242,54
481,461,986
384,456,67
456,384,2772
461,462,1
483,461,10
483,441,1
450,404,50
40,114,2
481,450,1
427,24,26
294,230,12
38,478,111
478,38,120
478,10,92
102,170,7
77,478,6
52,166,194
20,478,144
478,20,112
137,157,12
335,478,21
280,478,1
286,286,39
246,246,32
335,384,2
384,335,2
481,462,2
441,450,44
479,469,2
469,479,2
452,483,15
24,427,9
22,114,7094
114,22,6665
261,40,2
448,452,2
196,396,2
114,38,62
401,463,2
10,478,73
8,478,23
478,8,18
83,38,19559
38,83,18969
478,77,12
341,114,2
29,171,2
126,478,2
478,126,2
182,114,20
478,28,30
462,483,13
58,289,24093
13,149,15
404,483,3
48,427,3
427,48,18
194,295,3
295,194,3
10,8,446162
91,10,31322
35,411,3
25,20,157784
384,410,4796
4,167,17954
28,45,1430
18,48,74655
45,18,92339
106,335,314
48,23,80614
46,28,132822
39,40,313568
157,478,11
478,157,12
80,25,42254
34,80,70655
23,56,41762
335,20,114
27,427,13
31,114,16321
39,91,180
478,411,15
1,478,4
478,137,43
137,78,4
56,478,12
456,456,5
296,289,5
335,106,317
5,22,728979
20,5,505238
25,102,70
410,408,63
4,35,365471
51,140,6
114,335,76
194,426,10
426,194,7
51,4,563
4,51,663
5,51,464062
7,64,215307
341,51,7
51,182,13
114,478,2
51,114,1
16,86,74683
5,198,2
478,5,342
183,411,1
273,102,1
337,273,1
91,31,1626
182,77,1
341,39,1
40,345,1
478,161,126
335,161,1
29,478,42
478,29,57
167,478,2
478,167,2
27,362,12070
102,24,47
177,63,2
51,39,349608
39,51,355438
82,53,254
36,0,569746
285,10,2
22,382,2
382,478,2
125,28,2
106,478,12
478,106,8
335,114,19
71,478,8
478,136,10
34,4,142485
13,67,636
229,22,2
51,82,2
53,51,2
393,493,3
51,5,466751
65,195,126
493,127,6
161,8,4114
478,442,5
92,478,3
78,38,108614
128,83,4
182,103,4
442,478,5
182,4,3422
411,83,6
44,8,279965
390,155,4
83,335,14
95,146,5
83,20,57298
470,20,76
411,478,10
80,42,113
10,341,7
9,478,15
51,478,1
412,389,2627
389,412,3030
335,173,222
173,335,46
33,24,2485
40,51,29
389,173,233
173,389,152
388,197,951
412,173,184
173,412,206
173,423,38
423,173,4
335,456,7
335,389,4710
454,405,798
54,13,1166
13,54,357
308,197,135
85,427,6
102,463,2
180,19,150
177,157,5
109,19,9898
19,109,8051
33,64,81068
19,72,8
72,19,1097
19,6,210264
405,323,2175
27,62,556
413,401,11
164,19,259
33,427,123
178,445,6
118,102,25
152,401,2
102,33,189
44,29,289884
32,28,207147
114,39,34015
36,107,138
24,86,86367
52,53,19
33,50,59158
470,38,49
23,37,163726
37,70,593
173,61,22015
7,107,43535
57,27,77131
18,102,36759
51,20,116264
37,72,4
53,95,1
173,10,30116
10,173,30209
25,27,234401
243,57,4
35,92,393
13,206,156
335,51,156
173,478,1
45,19,107853
109,33,9336
52,102,152991
427,15,43
102,15,3177
29,63,2942
427,427,3
302,324,9850
350,243,444
243,350,701
194,350,5435
350,194,5196
366,79,8
13,243,14881
478,114,5
445,406,10
401,243,20
243,401,15
470,114,20
115,152,1
152,115,1
194,401,44
463,427,1
85,102,100
194,266,1
366,427,21
463,102,19
79,427,28
426,400,1
96,243,4
401,102,200
111,204,1
204,111,1
204,13,113
102,460,4
115,426,3
400,366,11
460,102,1
233,102,1
102,233,1
102,350,60
243,427,933
85,426,1
413,426,1
426,413,1
13,427,47
427,13,69
102,400,3103
400,102,3336
243,11,19
51,97,1
97,51,1
427,460,3
19,26,145400
16,111,1
96,467,1
467,96,1
350,427,21
194,427,2002
427,400,19
124,214,1
427,426,1
11,194,13086
19,164,6
11,400,1
79,467,1
299,102,1
5,470,50
38,114,70
102,118,11
243,413,1
118,350,1
194,152,1
152,194,1
102,421,10
421,102,8
23,243,545
427,96,4
34,225,1
198,63,841
266,152,6
23,194,4916
149,33,4
33,149,1
64,427,1
198,157,1
38,470,25
102,432,30
65,54,80
7,33,182638
51,10,207592
65,172,1
23,118,43092
366,33,1
33,366,1
115,145,108
102,413,13
233,64,1
194,24,41
65,66,1
335,137,3
427,420,1
33,13,177360
63,40,5946
33,400,36
194,33,1289
350,33,1
33,350,1
102,160,13
160,102,13
137,389,2
329,358,1
145,23,49943
362,29,35
60,367,1
50,102,89
102,195,9
69,279,73
130,93,212
427,7,1
73,15,2468
172,53,1
27,2,328971
2,27,333625
14,121,1
102,146,1
482,272,1
7,79,148090
40,219,1
208,478,16
161,478,105
64,52,2283
27,117,11660
425,140,1
412,10,1
478,140,45
412,38,2
194,100,3
100,194,4
141,25,1
114,182,18
25,161,1976
102,99,1
401,70,207
40,1,469552
478,91,78
194,28,12
28,194,13
53,2,208437
65,141,2
194,56,1
161,34,21
51,335,155
25,100,13107
20,2,455885
64,482,1
389,478,1
102,14,147
81,115,1
115,81,1
335,8,418
194,52,11
25,22,239150
22,25,247867
22,29,149331
401,52,22
2,478,3
177,25,1
411,149,1
51,28,25930
28,51,26852
27,478,32
15,77,504
22,7,186085
63,294,1
4,52,7562
52,4,6463
90,10,1
102,83,3
51,427,13
85,106,1
106,85,1
401,22,3
102,39,12
389,423,2
302,281,16507
26,72,2113
79,13,1315
350,13,1401
243,13,15897
456,335,9
352,108,13
108,352,17
389,335,4756
272,182,2
79,194,1510
28,56,446
152,102,2
412,335,5059
194,13,27962
352,181,6
102,365,2
365,102,2
401,194,52
13,400,5322
400,13,5585
102,85,43
401,149,5
366,16,2
16,366,2
365,427,2
458,233,2
233,458,2
12,260,21534
266,194,4
427,366,16
400,79,2
85,115,2
11,366,10
115,85,2
115,401,2
427,79,26
27,88,368
406,207,8
432,13,6580
88,27,835
266,413,2
243,96,4
194,96,4
96,194,6
102,113,13
113,102,15
102,265,23
265,102,88
400,204,2
204,400,2
366,400,8
26,52,597
17,243,13168
243,17,13538
86,118,2
350,102,16
102,86,37
86,102,216
85,243,2
243,85,2
426,102,61
460,427,2
11,86,38555
350,204,15
204,350,13
427,216,2
194,400,2
194,432,2
400,194,7
401,413,4
19,89,364
298,341,1352
341,298,639
413,400,6
400,413,6
149,86,2
229,117,2
104,64,57
350,413,2
40,5,559058
102,467,49
102,299,2
401,152,2
413,243,2
26,109,20999
467,427,16
102,96,511
96,102,428
86,401,337
478,177,26
145,194,7
247,350,2
114,10,90895
10,114,90470
39,114,32273
401,265,4
265,401,4
23,48,82168
194,118,2
65,427,57
427,65,63
138,194,5
194,138,2
33,90,40303
85,24,184861
65,102,34
24,85,172714
66,427,6
427,66,7
86,96,2
172,427,10
427,172,6
34,36,202736
123,60,50
86,350,2
64,102,3414
316,40,16
102,172,80
33,85,41094
85,259,2
259,85,2
145,102,14
413,102,15
102,145,6
401,24,212
24,401,305
392,55,2
55,392,2
13,24,273456
401,65,219
145,427,7
157,470,78
420,427,2
38,22,580423
182,144,2
102,37,379
182,219,2
335,219,27
102,104,202
104,115,2
115,104,2
195,102,10
317,272,2
